names
ZAYED LLC DBA EXPRESSWAY MART
GARLAND FOOD MARKET
KENTUCKY FOOD MAX
HUNTERS MARKET
COCOS CAKES
AA FOOD MART LLC
B QUICK
TIENDA CATRACHOS LLC 
INDIAN TRAIL SAVEALOT
MOES
MINIT MAR 
S A BAKERY AND MARKET
LAS AMERICAS MEXICAN STORE
NAWAL GROCERY
ALISHAS FOORT MART
RPV ENTERPRISES INC
VIETNAM ORIENTAL FOOD MARKET
BOMBAY INTERNATIONAL 
GAGEL FOOD MARKET LLC
NORFORK FOOD MART
FRESH THYME FARMERS MARKET STM
SHIVELY FRESH STOP MARKET
SUN VALLEY FRESH STOP MARKET
OLD LOUISVILLE FRESH STOP MARKET
PINK BOX BAKERY INC
SAFARI FOOD MARKET LLC
TIENDA LOS AMIGOS LLC
NEWBURG LIQUOR STORE
FOOD MART EXPRESS LLC
LA CIENFUEGUERA FOOD MARKET
ALMUNA HALAL MEAT
 STOP  GO
TONYS CONVENIENCE MART
COSTCO 
BQUICK FOOD MART
GAGEL PIC PAC
CITY MARKET I
ASIAN BAZAAR LLC
SAMIS LLC
THE ORIGINAL BARDSTOWN ROAD FARMERS MARKET
OAKS FOOD MART LLC
AMINA FOOD MARKET
TIKAL PLACITA LLC 
YOGI MINIMART INC  MINIMART
MILLENNIUM LLC
FORTUNE  LLC  PIC PAC
STOP  SAVE FOOD MART
J  M FOODMART
LUCKY STAR PETRO
RALHLA ASIAN MARKET
ROCKFORD PLAZA LIQUOR 
GHANSHAYAM SWARUP LLC
F AND H FOOD MART LLC
LB SISTERS GROCERY STORE LLC
ABHINAV A LLC
QUICK STOP LIQUOR  MORE
PRP STOP AND GO
TH  VIRGINIA GROCERY STORE
HALA SOMKE SHOP AND GROCERY
Z  H SMOKERS LLC
GLOBAL HEROW STORE LLC
AYAAMIN LLC DBA DINOS ROCKFORD LANE
GENDLER GRAPEVINE FRESH STOP MARKET AT THE J
INNOUT FOOD MART
BELEL INTERNATIONAL MARKET LLC
WARSI TRADER LLC  DAILY MART
JYOTI MINI MART INC  MANLEYS MARATHON
SCHNITZELBURG COMMUNITY FARMERS MARKET
GULF POINT LLC  BOONES MARATHON
CONVENIENT PLUS
SHRI HANUMAN LLC  THIRD STREET GAS STATION
BROTHER FOOD MART
SHOP  GO
DIXIE QUICK STOP LLC
TAYLOR QUICK STOP
BROTHERS FOOD MART
JAY SAI LLC
FARIS LLC
SAVE MORE FOOD MART
EURO CAFE  BAKERY
DONGAR FOOD MART  DELI
SOUTH POINTS FARMERS MARKET
PRESTON CORNER
SUPERMERCADO LA ROSITA INC
WEBBS INC WEBBS MARKET
SHRI UMIYA LLC J FOOD MART
APPLE FOOD MART
IROQUOIS CONVENIENT FOOD MART
BODEGA MI SUENO CORP
NAYEF LLC
WABARI FOOD MARKET LLC
SOUTHSIDE PIC PAC INC 
TIENDA LA CHAPINLANDIA
MOS FOOD MART
WEST MARKET 
CITY MARKET
ROYAL BAZAAR
BUECHEL LIQUOR
P  P GROCERY
HAPPYS FOOD MART
ROSES EXPRESS 
KHODIYAR FOOD MART
SISTAS MEAT MARKET
VICTORY VARIETY MART
MURPHY USA 
PLATINUM FOODMART
LATIN AMERICAN CORNER CORP
THORNTONS GAS  FOOD MART 
KROGER L L
H  M FOOD MART
WALGREENS  
THANGLONG
KROGER L
DERBY CITY PRODUCE
FIVE STAR FM 
WALMART SC 
F  M FOOD MART
KADERS SUPERMARKET 
BETTER WAY FOOD MART 
MEIJER 
NEIGHBORHOOD FOOD MART INC
CURTIS MARKET
KROGER L 
KROGER STORE L
RAINBOW BLOSSOM INC
KINGSLEY MEAT  SEAFOOD
BETTER BARGAINS
EZSUPER FOOD MART 
SCHWANS HOME SERVICE OF LOUISVILLE KY
SHALOM TOWERS GROCERIES INC
BUSSMANN BAKERY
RITE AID PHARMACY  
RITE AID  
KMART 
PORTLAND SAVE A LOT
B  E SALVAGE 
BLUE GRASS MEATS  SEAFOOD
WALMART STORE  
WALMART SC  
RAINBOW BLOSSOM NATURAL FOOD MRKT
BADERS FOOD MART
BOONE DBA CHEVRON FOOD MART
BINH PHUOC ORIENTAL MARKET
WALMART NEIGHBORHOOD MKT 
SUPER STOP FOOD MART
WHOLE FOODS MARKET 
SAVEALOT
SAVE A LOT 
KROGER  
ALWATAN BAKERY INC
WALMART NEIGHBORHOOD MKT  
DOLLAR GENERAL  
GFS MARKETPLACE MP
CHOIS ASIAN FOOD MARKET
THORNTONS QUICK CAFE  MKT 
THORTONS 
TAYLOR BLVD PIC PAC
TOMS FRUIT MARKET
BEECHMONT OPEN AIR MARKET
BLUEGRASS GLOBAL GROWERS MARKET
DOUGLASS LOOP FARMERS MARKET
LOUISVILLE FARMERS MARKET
LYNDON FARMERS MARKET
OLD LOUISVILLE FARM WORKS MARKET
RAINBOW BLOSSOM FARMERS MARKET
SAINT ANDREW FARMERS MARKET
SOUTHWEST FARMERS MARKET LOUISVILLE KY
ST MATTHEWS FARMERS MARKET
WESTPORT RD BAPTIST FARMERS MARKET
